,Importance
fr_azide,24.629629629629626
VSA_EState5,7.6285593557934295
fr_urea,6.94619517557724
PEOE_VSA3,6.6881618436245285
EState_VSA10,6.374487740185413
fr_para_hydroxylation,6.074008121806381
SMR_VSA9,5.603394103408593
fr_nitrile,5.114873299592306
SMR_VSA2,5.114873299592304
fr_aryl_methyl,5.047650879428371
MinEStateIndex,4.84825924273995
BCUT2D_CHGHI,4.816978984607734
MaxEStateIndex,4.783246863532454
MaxAbsEStateIndex,4.783246863532454
fr_bicyclic,4.744719851329264
EState_VSA2,4.732045798099677
NumHeteroatoms,4.660913963784709
fr_Al_OH,4.42867276393652
SlogP_VSA11,4.172844279196044
VSA_EState3,3.999160182333276
fr_sulfonamd,3.7322254545293103
NumHDonors,3.7184718058578055
fr_C_S,3.631467434146494
PEOE_VSA2,3.551703082377417
VSA_EState8,3.37065984700302
SlogP_VSA7,3.3676410934500343
EState_VSA1,3.3620132333317065
SPS,3.2616594160247803
fr_pyridine,3.1432068369831336
SMR_VSA10,3.134051889685794
EState_VSA7,3.1262316120239415
fr_Al_OH_noTert,3.07955939400976
TPSA,2.8985602788217064
fr_halogen,2.8725397725810398
SMR_VSA4,2.8680845801568533
NumAliphaticRings,2.795086426477509
BCUT2D_LOGPLOW,2.791428769930431
PEOE_VSA9,2.7438210614816443
NumAromaticHeterocycles,2.6587958376909095
SlogP_VSA12,2.5642714574366416
SMR_VSA3,2.515482661660305
VSA_EState10,2.476553074755833
NumSaturatedRings,2.363903075757112
BCUT2D_MRHI,2.343495180579966
fr_ether,2.2782568607272164
fr_Ar_N,2.2480157993697545
fr_term_acetylene,2.17675378100537
PEOE_VSA7,2.1503526723208246
RingCount,2.135274463239316
BCUT2D_MWHI,2.107216068082477
SMR_VSA6,2.089547298183722
fr_nitro_arom_nonortho,2.0856300514079176
fr_furan,2.0002508023455254
PEOE_VSA1,1.9984620092366114
PEOE_VSA13,1.9775800303522615
NOCount,1.9708526620288247
NumSaturatedHeterocycles,1.902236542377196
VSA_EState7,1.8959155785394055
Chi4v,1.8721365488589632
VSA_EState2,1.7809490541456325
NumAliphaticHeterocycles,1.7277766031909556
PEOE_VSA6,1.7192003495802712
NumAliphaticCarbocycles,1.6600514412696334
fr_SH,1.6589226048133086
fr_thiocyan,1.6589226048133083
fr_aldehyde,1.6589226048133034
fr_nitro,1.5203103245569345
MaxPartialCharge,1.4896246642051825
NHOHCount,1.460800140288484
fr_NH0,1.4563330834344324
BCUT2D_LOGPHI,1.4441800448085402
SlogP_VSA2,1.4252733736134513
fr_sulfone,1.373569786665127
fr_amide,1.371497167713662
fr_COO,1.359735772795733
Chi3v,1.3437467844333715
VSA_EState9,1.3428056992744382
MolLogP,1.30618502787312
fr_quatN,1.299684433043659
Kappa2,1.2750820331112636
BCUT2D_MRLOW,1.2707326870034201
NumRotatableBonds,1.2412909555764418
PEOE_VSA5,1.220331810311024
fr_oxime,1.2159139004160602
Chi4n,1.214786531582745
fr_nitroso,1.2089885289913311
fr_isothiocyan,1.2089885289913298
fr_piperzine,1.2089885289913274
Ipc,1.1861727423109711
NumSaturatedCarbocycles,1.1598763036649795
PEOE_VSA8,1.1489773145057216
HeavyAtomMolWt,1.1143666379580652
FpDensityMorgan3,1.0562137466238202
Chi3n,1.0065089273290406
FractionCSP3,0.9915907068575306
AvgIpc,0.9665211896994907
BertzCT,0.9589054774183877
fr_imidazole,0.9544770672022184
fr_COO2,0.913865494829276
EState_VSA5,0.8921692578768642
MolWt,0.8435433119897865
ExactMolWt,0.8304570857131595
fr_HOCCN,0.8271825625648777
fr_azo,0.8271825625648777
Chi2v,0.8213336855623204
PEOE_VSA14,0.8075752248496278
fr_epoxide,0.7954048152949604
Kappa3,0.7903614881320978
BCUT2D_CHGLO,0.7846135924137996
EState_VSA3,0.7820085488566011
EState_VSA6,0.7752678349716662
VSA_EState6,0.7627523809735948
BalabanJ,0.7557840998295722
fr_Al_COO,0.7554221724837319
fr_NH1,0.7034325221185844
fr_methoxy,0.7028196296553109
VSA_EState4,0.6977633525359748
fr_ester,0.6451736865989486
fr_NH2,0.6219066728901554
SMR_VSA1,0.6145166222012496
VSA_EState1,0.6027264717391546
Kappa1,0.5998488319149938
FpDensityMorgan2,0.5759052803812703
MinAbsEStateIndex,0.5756500294043774
EState_VSA4,0.5655941337980017
fr_benzene,0.5572425678739318
NumAromaticCarbocycles,0.5572425678739318
fr_morpholine,0.5552422494852373
fr_nitro_arom,0.5366241141885002
fr_Ar_COO,0.5308359584314568
fr_Ndealkylation1,0.5266563784547023
fr_alkyl_halide,0.4631408610501895
MinAbsPartialCharge,0.4577392615072504
SlogP_VSA4,0.45517245251639665
fr_ketone_Topliss,0.45036020253922004
