sel__k,MAE
1,1.9140076771684464
2,1.8573976401141292
3,1.7553917128368015
4,2.1647260525010763
5,2.6861762012593213
6,2.5998549370702677
7,2.584637133737734
8,2.5448787999243474
9,2.5416076574370594
10,2.3246040165581134
11,2.2461055765342266
12,2.563881022831004
13,2.560340704141946
14,2.5058311992927433
15,2.4336693414154578
16,2.5611766016048465
17,2.69648041349017
18,2.7247740985195716
19,2.4704770552327706
20,2.2720713436118327
21,2.387949556816089
22,2.1804674143746303
23,2.2410095959406964
24,2.2456269788864534
25,2.17285626435041
26,2.127266636977529
27,2.1618406177087257
28,1.9054482118127265
29,2.0978791491770883
30,2.2540151178029673
31,2.137085725603939
32,2.0855993464151354
33,2.0974024238209905
34,2.1534424744822456
35,2.249322505237962
36,2.1855309682958577
37,2.2826751204790345
38,2.1980680459623296
39,2.1740931540395154
40,2.212330568671591
41,2.276033901038128
42,2.3570178188109723
43,2.444370846866137
44,2.393404382764772
45,2.497285924021233
46,2.5042861771820033
47,2.393050087302943
48,2.501426269963137
49,2.5636370951652463
50,2.4969170928616338
51,2.6784357750608385
52,2.5076076417802824
53,2.61250267202003
54,2.531189920325167
55,2.528041489528837
56,2.450489170786734
57,2.594173900902329
58,2.3731197454536836
59,2.382363810143365
60,2.3856898346493605
61,2.4746480758903373
62,2.425518874448079
63,2.4076090437172493
64,2.2254004368541658
65,2.3155760769427287
66,2.2776976889849347
67,2.353025396949484
68,2.231107852672518
69,2.3329276209954424
70,2.3594333413663553
71,2.3160767985841493
72,2.26344455965444
73,2.0606801825994494
74,2.1824398738624353
75,1.905316295923071
76,2.111763497681104
77,2.229238472722658
78,2.1545510434414443
79,2.233102828549144
80,2.17394399155703
81,2.1919940352122325
82,2.1190600084520614
83,2.232993869112674
84,2.1888785943565887
85,2.277755569001472
86,2.195832104102291
87,2.1474483488801033
88,2.1638445231685552
89,2.0952458584335645
90,2.1106495842194786
91,2.1273870860203017
92,2.0319380132431553
93,2.097460889380347
94,2.0753370175943644
95,1.9424809471766757
96,1.8796369286497447
97,1.9132488510114707
98,1.8796239385409732
99,1.9146199727451028
100,1.8090404772957052
101,1.8948665770690776
102,1.9544702089556365
103,2.0876657160372902
104,2.325731082829724
105,2.009960793919273
106,2.305238836238561
107,2.1971510732211508
108,2.846757187277898
109,2.767091637894013
110,2.406047572002812
111,2.9655933213322556
112,4.6398638485756205
113,4.145999521976064
114,4.042684750036697
115,4.2074230928951994
116,4.091702009700351
117,3.777470920983605
118,5.0423073284644575
119,4.173402615955694
120,4.21118184224576
121,3.6050928992548767
122,4.0561222169781015
123,4.147068144172661
124,3.795123139884103
125,4.299959048768915
126,4.4113596691401025
127,4.255063973927211
128,4.597394860436247
129,4.900068960077556
130,4.992853549433949
131,5.187425819082779
132,5.136148872223946
133,5.109930290192869
134,4.90820634496718
135,4.919198566243352
136,5.347795555391133
137,4.994567362290359
138,4.819007594836351
139,5.081256524117638
140,5.275178458793388
141,5.383384333900313
142,5.52224934856882
143,5.6354936784927885
144,5.266218859535998
145,5.146364154747884
146,5.647176569387633
147,5.15940692481387
148,5.230250790640302
149,4.887108231952373
150,4.640831186670192
151,4.516777576373015
152,4.635750629703398
153,4.6959549951332615
154,4.9456877920639934
155,4.987974306728131
156,5.129140538781472
157,4.888475227833273
158,5.168285565712918
159,4.7944926965183345
160,4.778610881354424
161,4.753745779163491
162,4.619112453580195
163,5.190413207438929
164,4.651973300189581
165,4.734146665705999
166,4.920827774476783
167,4.654185289536172
168,4.959515618240813
169,4.563350722180516
170,5.271419091718071
171,4.968302312647824
172,4.352942274242178
173,4.992479872017954
174,4.595465949557495
175,5.011468427971413
176,4.5988984605287975
177,4.819546455323522
178,4.708162772548168
179,5.022034122524965
180,4.6579279005003364
181,4.555230466651875
182,4.638930380613272
183,4.603533901425426
184,5.828075171218442
185,4.734233649621213
186,4.810390799397436
187,4.7451738010594315
188,5.915645299918618
189,5.816531821811579
190,5.968529713382949
191,6.097225368017297
192,6.003202558573794
193,5.821722685972022
194,5.734966643943281
195,5.829733569283073
196,6.202749343575599
197,5.834062124776474
198,6.093904316457065
199,5.961837337894691
200,6.044883335216259
201,6.119076442304472
202,6.057235528477855
203,6.037019996230155
204,6.151859195417525
205,6.031244541670254
206,5.980861988350555
207,6.073051052383632
208,6.143106270046155
209,6.153354840341949
210,6.177911567231117
