"","V1","Mass (avg)","RT (avg)","25mM LG_unlabeled254","25mM LG_unlabeled263","25mM LG_unlabeled266","25mM LG_13C-labeled262","25mM LG_13C-labeled264","25mM LG_13C-labeled272"
"X1",1,613.1017,8.88,3667,1,503,1607950,1732892,1
"X1L",1,607.0813,8.88,10989126,10961401,10714565,631111,644072,1
"X2",2,830.6331,1.73,1,5994,1,395476,382550,1
"X1L.1",1,824.6133,1.73,14692,11764,13041,194253,214484,327
"X3",3,586.0539,9.53,1,1,1,215831,259795,797
"X1L.2",1,580.0343,9.53,1819661,1967702,1978702,207800,251969,1
"X4",4,202.0787,8.22,1337,3020,4500,153460,177542,2352
"X1L.3",1,196.0584,8.22,267881,282933,274658,1,48734,8240
"X5",5,766.5858,1.73,1,1,1,265094,245825,1442
"X1L.4",1,760.5668,1.73,30321,31300,29443,149933,155261,930
"X6",6,782.5988,1.73,3012,1,685,172648,168973,1
"X1L.5",1,776.5788,1.73,1,1,63548,377433,362241,451
"X7",7,810.6296,1.72,1,1,1,140930,143440,1
"X1L.6",1,804.609,1.73,1,19981,16208,345402,307968,852
"X8",8,872.5303,1.43,1,1,1,120727,127930,1
"X1L.7",1,866.5093,1.43,240439,232236,224739,132220,112908,1
"X9",9,812.637,1.73,2536,1,1,134027,129523,807
"X1L.8",1,806.6166,1.73,11531,12920,1,294702,277643,1
"X10",10,856.6481,1.72,1,1,2158,107842,102076,1
"X1L.9",1,850.6295,1.73,15480,14454,14086,149782,155331,1
"X11",11,826.5449,1.46,1,1,1,94566,102585,858
"X1L.10",1,820.5259,1.47,390047,391549,366554,118973,115935,1
"X12",12,288.2762,1.29,1,1,1,20347,18786,1
"X1L.11",1,282.2562,1.29,638066,558476,681932,389386,457231,42867
"X13",13,288.2762,1.29,1,1,1,20347,18786,1
"X1L.12",1,282.2563,1.29,638066,567610,699957,426543,481821,46063
"X14",14,923.3969,7.98,238,1,1,26688,32401,1
"X1L.13",1,917.3776,7.98,148188,155782,157153,75212,114579,816
