False Positive Rate,True Positive Rate
0.0,0.0
0.0,0.0023148148148148147
0.003838771593090211,0.009259259259259259
0.02111324376199616,0.02546296296296296
0.023032629558541268,0.027777777777777776
0.44529750479846447,0.5138888888888888
0.7600767754318618,0.8310185185185185
0.761996161228407,0.8333333333333334
0.763915547024952,0.8333333333333334
0.8905950095969289,0.9560185185185185
0.8925143953934741,0.9560185185185185
0.8925143953934741,0.9629629629629629
0.9481765834932822,0.9814814814814815
0.9500959692898272,0.9814814814814815
0.9712092130518234,0.9953703703703703
0.9731285988483686,0.9953703703703703
0.9731285988483686,0.9976851851851852
0.9788867562380038,0.9976851851851852
0.982725527831094,0.9976851851851852
0.9846449136276392,0.9976851851851852
0.9961612284069098,0.9976851851851852
0.9980806142034548,1.0
1.0,1.0
