False Positive Rate,True Positive Rate
0.0,0.0
0.005,0.036827195467422094
0.04,0.16997167138810199
0.155,0.46742209631728043
0.42833333333333334,0.7705382436260623
0.77,0.9603399433427762
1.0,1.0
