False Positive Rate,True Positive Rate
0.0,0.0
0.0,0.0023148148148148147
0.003838771593090211,0.009259259259259259
0.02111324376199616,0.02546296296296296
0.44337811900191937,0.5115740740740741
0.7581573896353166,0.8287037037037037
0.761996161228407,0.8333333333333334
0.8886756238003839,0.9560185185185185
0.944337811900192,0.9745370370370371
0.9654510556621881,0.9884259259259259
0.9673704414587332,0.9884259259259259
0.9731285988483686,0.9884259259259259
0.9788867562380038,0.9884259259259259
0.982725527831094,0.9907407407407407
0.982725527831094,0.9976851851851852
0.9942418426103646,0.9976851851851852
0.9942418426103646,1.0
0.9961612284069098,1.0
1.0,1.0
