NAME,Experimental RT,Predicted RT,mae
Nicotinamide,1.7,2.1161890152309306,0.41618901523093066
Glucose,1.84,2.256192356451579,0.4161923564515788
Raffinose,9.17,8.809094354030389,0.36090564596961094
Adenine,4.71,6.229661256047886,1.5196612560478862
Threonine,8.21,7.698325580872296,0.5116744191277052
Arginine,9.53,9.32709794200881,0.20290205799118866
Methionine,7.37,7.597143276403216,0.22714327640321574
Asparagine,8.81,8.474781878164427,0.33521812183557387
Cytidine,6.85,6.182134116191541,0.6678658838084583
Tryptophan,6.92,6.412448188626099,0.5075518113739008
Sarcosine,7.82,6.85355079723843,0.9664492027615701
Ethanolamine,7.15,6.792877999827752,0.3571220001722484
Hypoxanthine,4.99,4.7488089231615325,0.24119107683846774
Cysteine,5.31,7.296946373630579,1.9869463736305795
Creatinine,4.93,5.440519391435867,0.5105193914358672
Sucrose,8.05,8.084580964043235,0.03458096404323463
Guanine,6.4,5.937781548509354,0.46221845149064666
Allothreonine,7.95,7.698325580872296,0.2516744191277045
Thymidine,2.57,2.9861937007776254,0.4161937007776255
1-Methylnicotinamide,6.26,5.199901276093545,1.0600987239064548
Isoleucine,7.18,7.594623454916508,0.41462345491650865
Leucine,7.08,7.745497987594365,0.6654979875943647
Valine,7.24,7.512281630480665,0.27228163048066456
Alanine,8.05,7.460893659627674,0.5891063403723269
Glutamine,8.19,8.1710010448642,0.018998955135799633
Glycerophosphocholine,8.67,7.382076732626536,1.287923267373464
Tyrosine,7.61,7.640092687246712,0.03009268724671177
Histidine,9.48,6.799620510595088,2.6803794894049124
Phenylalanine,6.94,7.3611562527787315,0.42115625277873114
Betaine,7.24,6.986490409429083,0.2535095905709168
Lysine,9.54,9.008235797757356,0.531764202242643
Taurine,7.85,7.4645559470700515,0.3854440529299481
Glycine,8.33,7.759003436964125,0.5709965630358749
Inosine,6.19,6.385510938595128,0.19551093859512747
Uridine,4.72,4.443250085280875,0.276749914719125
Adenosine,4.77,6.839843907008529,2.0698439070085293
Uracil,2.4,3.7831474291246683,1.3831474291246684
Creatine,8.15,7.77219405582229,0.37780594417771063
