,abs(coef)
Ipc,0.28084148323859814
fr_epoxide,0.2747381961354225
BalabanJ,0.2444036566546741
fr_urea,0.23355512174636361
fr_imide,0.21671146488092716
fr_aryl_methyl,0.19624226609213216
VSA_EState9,0.19005074112894932
fr_hdrzone,0.1768512525511366
PEOE_VSA6,0.17378127144535518
Chi4v,0.17299834075071677
fr_bicyclic,0.17035149818314513
EState_VSA2,0.16028639198930802
NumAliphaticHeterocycles,0.1593555889042136
fr_sulfone,0.15676752793305915
fr_thiophene,0.15290662814164055
