,abs(coef)
SlogP_VSA11,1.4711311345025795
Chi2v,1.2883001849997413
NumRotatableBonds,1.212092676466829
VSA_EState1,1.1078088507655446
Chi3v,1.0971257044509546
MolLogP,1.0801820130387512
FpDensityMorgan2,0.922358333501248
SlogP_VSA12,0.8988802489384389
FpDensityMorgan3,0.8830402738236849
AvgIpc,0.8278128266241502
Chi1v,0.7291307429193505
fr_sulfonamd,0.7154145355024273
fr_NH2,0.6773382870108655
NumAromaticHeterocycles,0.6604030781490007
fr_aniline,0.6536951323185036
