,abs(coef)
VSA_EState10,1.4970513706730024
MolLogP,1.2286899075536697
Kappa2,1.0290026007276207
Chi3n,0.9296363642663952
fr_NH0,0.8855399585668264
HallKierAlpha,0.8590680543952178
SMR_VSA10,0.8567638600038716
TPSA,0.8538869916762373
fr_amide,0.8005594237858791
fr_NH2,0.7925236770437873
SMR_VSA7,0.7746116197984785
SlogP_VSA11,0.7584455807986039
Chi4v,0.6853521453753171
FpDensityMorgan2,0.65420929748162
SlogP_VSA10,0.653771940170877
