Feature,Score
MolMR,0.49074695246449673
PEOE_VSA10,0.46403475797912996
NOCount,0.3927502334223951
BCUT2D_MRHI,0.3866320581167719
Ipc,0.35800515691626345
VSA_EState9,0.3457568997541465
fr_Al_COO,0.3360974162018402
EState_VSA1,0.33579346906819163
MinPartialCharge,0.3339129482871832
VSA_EState1,0.3307562870762282
PEOE_VSA7,0.32336196546118123
VSA_EState3,0.3232071516403745
qed,0.31096723668902015
SlogP_VSA3,0.31040105692454745
FpDensityMorgan1,0.3094946993818457
NumRotatableBonds,0.2887883420052044
NumHDonors,0.28635331604798653
Chi1,0.2818932614709633
NumHeteroatoms,0.2786517877799386
VSA_EState5,0.2781842737230491
Chi1n,0.27447426195638425
PEOE_VSA1,0.2677567180453102
NumAliphaticCarbocycles,0.26662923417097506
SPS,0.26515651565082443
VSA_EState7,0.2600819667828995
SMR_VSA10,0.2532305703748676
MolWt,0.24715333859255129
BalabanJ,0.24710671619814262
BCUT2D_CHGLO,0.24083125014319506
EState_VSA10,0.2391990911496591
MaxAbsPartialCharge,0.23665094821866006
Chi1v,0.23622910650162687
MinAbsPartialCharge,0.2348669621271453
HeavyAtomCount,0.2333476779221626
Kappa2,0.23141848129812326
Chi0v,0.22117979287887346
NHOHCount,0.2211018069721069
BCUT2D_CHGHI,0.21360607531084197
SMR_VSA6,0.21341402577903468
BCUT2D_MRLOW,0.21009495187182603
PEOE_VSA2,0.20650011403167978
Chi0n,0.19788343427881339
Chi2n,0.19729689783660032
SMR_VSA2,0.1968045399147087
VSA_EState4,0.1966748226806101
EState_VSA11,0.1909138179727945
ExactMolWt,0.188693704318164
NumRadicalElectrons,0.18657277788749926
MinEStateIndex,0.185552527259905
LabuteASA,0.18049398903175762
VSA_EState10,0.17973928174314224
VSA_EState6,0.1787628189686754
PEOE_VSA11,0.17819015170904162
Chi3n,0.17316309160565435
Chi4v,0.17210407825556207
SlogP_VSA6,0.17164558500034577
HeavyAtomMolWt,0.16970015820958873
NumValenceElectrons,0.1693696333736261
Chi4n,0.16714474391931144
fr_COO2,0.1626434224789044
fr_C_O,0.1626434224789044
EState_VSA9,0.15579968917050246
EState_VSA5,0.15395506637647305
SMR_VSA7,0.1490224803555642
Kappa3,0.1483341066584818
BCUT2D_LOGPLOW,0.14748646551919276
SlogP_VSA10,0.1465395886731522
AvgIpc,0.14534037646825082
SlogP_VSA4,0.1431054341485276
SMR_VSA8,0.14241588874992672
Chi2v,0.14112520058494393
VSA_EState8,0.1403771335299857
NumSaturatedCarbocycles,0.13694918906696874
fr_C_O_noCOO,0.1352015080789739
Chi0,0.13514513149632812
BCUT2D_MWLOW,0.13158273020752498
fr_Al_OH,0.12645389025884146
Chi3v,0.12593754635904109
HallKierAlpha,0.1222503858382944
fr_ArN,0.12156795021363709
FractionCSP3,0.1123346638323135
EState_VSA7,0.10923474983964221
SlogP_VSA7,0.10865513846973451
EState_VSA3,0.10864094200795993
FpDensityMorgan3,0.10792730106623205
BertzCT,0.09950411046887009
MolLogP,0.09472983417363556
NumHAcceptors,0.08760567711993206
fr_benzodiazepine,0.08441485797962356
fr_Al_OH_noTert,0.08291010606654448
NumAromaticHeterocycles,0.08279673500227647
EState_VSA4,0.08151703011450051
fr_N_O,0.06914430724698284
PEOE_VSA3,0.0689900876623013
EState_VSA8,0.06889663811893887
fr_phos_ester,0.06723842137138059
fr_piperdine,0.06723842137138059
SlogP_VSA2,0.06471900273303266
PEOE_VSA12,0.06468460184825076
BCUT2D_MWHI,0.06259560811734
FpDensityMorgan2,0.06150783331816312
BCUT2D_LOGPHI,0.057889051486211596
MinAbsEStateIndex,0.05701545995159485
MaxEStateIndex,0.0553973369742482
EState_VSA6,0.05357807413989457
PEOE_VSA8,0.05308893063333997
fr_urea,0.05217948597155875
SlogP_VSA12,0.0502743717228511
SlogP_VSA1,0.0502743717228511
SMR_VSA5,0.04888404138572877
PEOE_VSA9,0.04512038234610838
SMR_VSA4,0.043948821278428696
NumAliphaticHeterocycles,0.043651034940822786
fr_COO,0.04077318131227581
PEOE_VSA4,0.0403322714245502
fr_Ar_N,0.03917136457931547
fr_phenol,0.03891986661580238
fr_amide,0.03735815325451686
SMR_VSA1,0.035786585446127006
fr_NH2,0.03441498791153319
PEOE_VSA14,0.03371367971702455
fr_phos_acid,0.03222790426713806
SlogP_VSA11,0.030975031786945717
fr_amidine,0.028522561290383885
fr_sulfide,0.02741753761526433
fr_phenol_noOrthoHbond,0.0258244960509304
fr_Ar_NH,0.024052072845586858
fr_azide,0.023370154218574468
fr_morpholine,0.02178698321876782
PEOE_VSA13,0.021322028055351216
fr_NH1,0.02075900463540359
SlogP_VSA5,0.01974677878892761
